dataset,variant,run_id,split_strategy,use_sampling,full_threshold,sample_size,balance_min_frac,aknn_build_s,aknn_search_s,aknn_recall,update_build_s,update_insert_avg_s_per_item,update_final_recall
sift,mst_full_orig,3,mst,0,200,300,0.1,39.480507,0.001056,0.980000,39.398178,0.001723,0.964
sift,mst_full_1,1,mst,0,200,300,0.2,39.732784,0.001068,0.977000,39.761108,0.001718,0.967
sift,mst_full_1,2,mst,0,200,300,0.2,39.458996,0.001076,0.984000,39.457474,0.001682,0.965
sift,mst_full_1,3,mst,0,200,300,0.2,39.852451,0.001038,0.981000,39.697727,0.001740,0.967
sift,mst_full_2,1,mst,0,200,300,0.05,39.891109,0.001089,0.980000,40.101681,0.001658,0.968
sift,mst_full_2,2,mst,0,200,300,0.05,39.195431,0.001007,0.979000,39.451096,0.001680,0.967
sift,mst_full_2,3,mst,0,200,300,0.05,39.849213,0.001090,0.978000,39.960468,0.001697,0.969
sift,mst_full_3,1,mst,0,300,300,0.1,39.033882,0.001052,0.978000,39.796947,0.001669,0.968
sift,mst_full_3,2,mst,0,300,300,0.1,39.305996,0.001047,0.981000,39.717999,0.001698,0.968
sift,mst_full_3,3,mst,0,300,300,0.1,40.083336,0.001075,0.982000,39.839706,0.001724,0.967
sift,mst_full_4,1,mst,0,200,200,0.1,39.407394,0.000987,0.978000,39.514740,0.001674,0.967
sift,mst_full_4,2,mst,0,200,200,0.1,39.863464,0.001042,0.978000,39.795002,0.001658,0.969
sift,mst_full_4,3,mst,0,200,200,0.1,39.944469,0.001041,0.976000,38.720257,0.001691,0.966
sift,mst_sample_sift_1,1,mst,1,32,32,0.05,39.710323,0.001104,0.980000,39.468109,0.001692,0.967
sift,mst_sample_sift_1,2,mst,1,32,32,0.05,39.989685,0.001092,0.982000,39.948055,0.001661,0.968
sift,mst_sample_sift_1,3,mst,1,32,32,0.05,39.119587,0.001041,0.984000,39.162197,0.001679,0.966
sift,mst_sample_sift_2,1,mst,1,16,32,0.05,39.839306,0.001090,0.980000,39.635128,0.001665,0.965
sift,mst_sample_sift_2,2,mst,1,16,32,0.05,39.514252,0.001024,0.983000,39.521622,0.001687,0.97
sift,mst_sample_sift_2,3,mst,1,16,32,0.05,39.105675,0.001062,0.981000,39.429165,0.001651,0.97
